,Company Name,Weight
0,Divis,0.04425974
1,BergerPaints,0.07632531
2,Astral,0.02858038
3,AsianPaints,0.07097161
4,ABcapital,0.05662959
5,Idfcfirst,0.09417309
6,Jubilant,0.02072996
7,IGL,0.09446568
8,Pidilite,0.076884
9,Lalpathlab,0.02169444
10,HdfcBank,0.07000162
11,Hdfclife,0.1068192
12,Alkyl,0.00409224
13,Titan,0.07971993
14,Vinati,0.01249292
15,Galaxy,0.03081518
16,Motherson,0.00631719
17,Relaxo,0.00275677
18,HCL,0.00691804
19,Kotak,0.09535313
